customer_code,2025-01-01,2025-02-01,2025-03-01,2026-01-01,2026-02-01
KH-00001,2305556.0,0.0,9222223.0,0.0,0.0
KH-00002,3509259.0,0.0,0.0,0.0,0.0
KH-00003,2398148.0,0.0,0.0,0.0,0.0
KH-00004,12268519.0,47190000.0,135920000.0,20574074.0,57787759.0
KH-00005,4425926.0,0.0,0.0,0.0,0.0
KH-00006,82460919.0,276751530.0,175371454.0,158071007.0,401262658.0
KH-00007,247541204.0,0.0,34840000.0,324075674.0,0.0
KH-00008,6648148.0,0.0,0.0,7037038.0,0.0
KH-00009,44444444.0,0.0,0.0,0.0,44444444.0
KH-00010,17104444.0,48521284.0,145245148.0,28257218.0,81211454.0
KH-00011,2305556.0,0.0,2305556.0,0.0,0.0
KH-00012,2592593.0,0.0,2592593.0,0.0,0.0
KH-00013,2490741.0,0.0,0.0,0.0,0.0
KH-00014,42780000.0,31330000.0,45160000.0,39473324.0,0.0
KH-00015,23210000.0,0.0,54720000.0,0.0,0.0
KH-00016,36730000.0,0.0,57180000.0,0.0,0.0
KH-00017,23350000.0,0.0,0.0,0.0,0.0
KH-00018,96920000.0,0.0,28981481.0,62849148.0,81484230.0
KH-00019,549131198.0,196435555.0,569935465.0,1673095925.0,633303612.0
KH-00020,124583332.0,0.0,0.0,0.0,0.0
KH-00021,87037037.0,0.0,0.0,0.0,0.0
KH-00022,37250000.0,32160000.0,70016647.0,47703881.0,0.0
KH-00023,284648146.0,272593519.0,4425926.0,0.0,230648146.0
KH-00024,55900000.0,96260000.0,114270000.0,149230528.0,181779584.0
KH-00025,13277778.0,0.0,0.0,0.0,0.0
KH-00026,7777778.0,0.0,0.0,0.0,0.0
KH-00027,24583215.0,18920000.0,24764039.0,107754783.0,46031470.0
KH-00028,34510000.0,0.0,16540000.0,0.0,0.0
KH-00029,4055556.0,0.0,0.0,0.0,0.0
KH-00030,680818519.0,0.0,0.0,685527778.0,0.0
KH-00031,4907408.0,0.0,0.0,0.0,0.0
KH-00032,1935185.0,0.0,0.0,0.0,0.0
KH-00033,11064815.0,0.0,0.0,0.0,0.0
KH-00034,11750000.0,21000000.0,0.0,0.0,0.0
KH-00035,15000000.0,0.0,48200000.0,0.0,0.0
KH-00036,31342592.0,14981481.0,0.0,0.0,0.0
KH-00037,3879630.0,0.0,0.0,0.0,0.0
KH-00038,32350000.0,74329035.0,0.0,0.0,0.0
KH-00039,153703695.0,0.0,0.0,61250010.0,0.0
KH-00040,185400000.0,61200000.0,46800000.0,0.0,0.0
KH-00041,11064815.0,0.0,0.0,0.0,0.0
KH-00042,23315739.0,50856467.0,48142117.0,37474434.0,40871560.0
KH-00043,2360000.0,28290000.0,0.0,0.0,0.0
KH-00044,29250000.0,0.0,0.0,47775542.0,0.0
KH-00045,18111112.0,0.0,0.0,0.0,0.0
KH-00046,105677282.0,0.0,108164789.0,0.0,78322761.0
KH-00047,0.0,36180000.0,0.0,0.0,0.0
KH-00048,0.0,13277778.0,0.0,0.0,0.0
KH-00049,0.0,58662032.0,29268048.0,16416664.0,20859996.0
KH-00050,0.0,2305556.0,0.0,0.0,0.0
KH-00051,0.0,4611111.0,0.0,0.0,0.0
KH-00052,0.0,2212963.0,0.0,0.0,0.0
KH-00053,0.0,3694444.0,0.0,0.0,0.0
KH-00054,0.0,2398148.0,0.0,0.0,0.0
KH-00055,0.0,4983333.0,0.0,0.0,0.0
KH-00056,0.0,33090000.0,0.0,0.0,0.0
KH-00057,0.0,152555152.0,411020000.0,0.0,0.0
KH-00058,0.0,24000000.0,0.0,0.0,0.0
KH-00059,0.0,48680000.0,0.0,0.0,0.0
KH-00060,0.0,25550000.0,0.0,0.0,0.0
KH-00061,0.0,13730000.0,0.0,0.0,0.0
KH-00062,0.0,71840000.0,47700000.0,0.0,0.0
KH-00063,0.0,20615148.0,31100000.0,0.0,0.0
KH-00064,0.0,130900000.0,232162500.0,0.0,0.0
KH-00065,0.0,82180000.0,468450000.0,0.0,0.0
KH-00066,0.0,34390000.0,0.0,0.0,0.0
KH-00067,0.0,68891481.0,145054821.0,0.0,0.0
KH-00068,0.0,30520000.0,17490000.0,0.0,0.0
KH-00069,0.0,11074074.0,0.0,5537037.0,0.0
KH-00070,0.0,8851852.0,0.0,0.0,0.0
KH-00071,0.0,3509259.0,0.0,0.0,0.0
